Amount,F1,Precision,Recall
0,0.98989898989899,0.9849246231155779,0.9949238578680203
1,0.7796954314720812,0.9746192893401016,0.649746192893401
2,0.6769570011025359,0.9715189873417721,0.5194585448392555
5,0.3268156424581006,0.936,0.19796954314720813
10,0.20761762509335324,0.8853503184713376,0.11759729272419628
20,0.08,0.7352941176470589,0.04230118443316413
